Epoch,Train Loss,Val Loss,Time Taken
1,0.047524076,2.25264,35.691492795944214
2,0.043528624,2.174105,34.969151735305786
3,0.04077369,2.124117,35.28401756286621
4,0.037241545,2.1180792,35.3210723400116
5,0.03286881,2.1685638,35.144368171691895
6,0.028336124,2.2220807,33.98354959487915
7,0.024001006,2.2734501,33.96047925949097
8,0.020708727,2.323898,35.105544567108154
9,0.018018343,2.3759243,35.42258381843567
10,0.015812438,2.431031,35.43883419036865
11,0.013877218,2.4851437,35.4001522064209
12,0.012223929,2.5350575,35.375948905944824
13,0.010810447,2.5967097,35.37343907356262
14,0.009576547,2.64934,35.39846086502075
15,0.008570408,2.7033193,35.423261404037476
16,0.0077176914,2.7566288,35.516305923461914
17,0.0069683567,2.8171887,35.58998417854309
18,0.0063890577,2.8679583,35.630351305007935
19,0.005893757,2.9161608,35.65656781196594
20,0.005678201,2.9691625,35.69926166534424
21,0.0054461886,3.0152652,35.70510149002075
22,0.0050852587,3.0565033,35.69133973121643
23,0.004864871,3.1046915,35.75665235519409
24,0.0047396556,3.1442413,35.74039578437805
25,0.004639387,3.1885045,35.82516527175903
26,0.0046384046,3.219974,35.81726145744324
27,0.004755431,3.2726548,35.86210107803345
28,0.0049634506,3.3047638,35.815510272979736
29,0.005190221,3.3434048,35.852704763412476
30,0.0051632635,3.3743775,35.91577982902527
31,0.0049761822,3.4034302,35.869596004486084
32,0.0046198484,3.427987,35.848185300827026
33,0.005000305,3.4490514,35.84923720359802
34,0.0050714416,3.4862602,35.87627649307251
35,0.0048401966,3.5107005,35.908082485198975
36,0.0046434575,3.542739,35.87585496902466
37,0.004453254,3.5683012,35.86345291137695
38,0.004373161,3.5914516,35.874939918518066
39,0.0044893697,3.6116748,35.88917136192322
40,0.0047145933,3.6316297,35.859848737716675
